"","logFC.BSvsM","FDR.BSvsM","GENEID","logFC.MvsV","FDR.MvsV","logFC.BSvsV","FDR.BSvsV"
"95",5.44830030279594,8.78332032776255e-08,"LOC_Os03g41438",-8.62284025334782,4.94253597044312e-11,-3.17453995055188,9.56061504153035e-06
"96",-1.41820419975504,8.78332032776255e-08,"LOC_Os01g51410",4.21634821965049,5.98707763101862e-15,2.79814401989545,4.3542377384082e-12
"97",-1.4487380609147,1.18877172223724e-07,"LOC_Os07g06660",4.22476485185354,1.04490353982252e-14,2.77602679093885,9.56264840968867e-12
"98",4.56196144845837,1.25012338182611e-07,"LOC_Os05g38660",-4.88813745068043,1.23022806647842e-08,-0.326176002222063,0.779961776805196
"99",-2.51100753371238,1.29869590174165e-07,"LOC_Os01g64660",3.74948355600659,3.69584269758328e-10,1.23847602229422,0.00107201675108048
"100",-1.41621198092053,1.3349402486117e-07,"LOC_Os04g45070",2.01492439642992,3.86737613898121e-10,0.598712415509387,0.00556960975737135
"101",4.98995901801898,1.36258206814107e-07,"LOC_Os12g08130",-7.10094862803674,3.59699392760704e-10,-2.11098961001776,0.000945674370195994
"102",-1.50858192475222,1.42095139762055e-07,"LOC_Os07g25430",5.3652381396108,1.57991729126581e-15,3.85665621485858,2.90259908674915e-13
"103",-1.71960754116211,1.47916343350917e-07,"LOC_Os05g48630",5.61943535269633,5.98786710466869e-15,3.89982781153422,1.89431493364374e-12
"104",-2.48976871649594,1.47916343350917e-07,"LOC_Os01g52240",6.08729839595355,7.0416931563621e-13,3.59752967945761,1.72347256002219e-09
"105",-1.53049983672943,1.60924084297713e-07,"LOC_Os10g21268",5.72385670595619,1.14720862273129e-15,4.19335686922676,1.70942660194852e-13
"106",-1.5684236991045,1.62756394818509e-07,"LOC_Os03g07300",5.00082265430798,6.25818616542762e-15,3.43239895520348,2.60836647814511e-12
"107",-1.87375152590471,1.69066067748053e-07,"LOC_Os03g20700",4.90724245073183,1.37900725800783e-13,3.03349092482712,2.56678742849767e-10
"108",2.62860802853776,1.74212416993629e-07,"LOC_Os04g26920",-2.60513431474189,6.29133052068062e-08,0.0234737137958722,0.988838518656091
"109",-1.4950811834179,1.74212416993629e-07,"LOC_Os06g01210",4.81163558338304,5.98707763101862e-15,3.31655439996514,2.1786136065674e-12
"110",-1.68485607808983,1.74212416993629e-07,"LOC_Os03g39610",5.70559387221617,5.70651396956082e-15,4.02073779412634,1.17317160321299e-12
"111",3.96216855947075,1.89506365995514e-07,"LOC_Os03g27120",-7.16487615136262,2.66072451935964e-11,-3.20270759189187,1.58766377521684e-06
"112",4.21421138770318,1.93126116662314e-07,"LOC_Os11g41150",-7.58364669173045,2.04652189947533e-11,-3.36943530402727,8.64997257761109e-07
"113",2.33133472124573,1.95564475597563e-07,"LOC_Os02g44370",-3.56475637825435,1.13939972501776e-10,-1.23342165700862,0.000507047768504305
"114",3.12036442237354,2.2191360012678e-07,"LOC_Os12g33120",-7.45366517074688,6.07568092311461e-13,-4.33330074837334,1.4904582185091e-09
"115",3.94047156198593,2.34979268315886e-07,"LOC_Os10g28610",-3.80597534010431,1.05666785602246e-07,0.134496221881621,0.936627905540591
"116",5.34971185131031,2.43018402986201e-07,"LOC_Os01g70110",-7.88199396737241,4.40187715749516e-10,-2.5322821160621,0.000335355099046887
"117",-1.76980739928161,2.43018402986201e-07,"LOC_Os03g22370",6.19916046244195,5.98707763101862e-15,4.42935306316033,1.0905081861978e-12
"118",1.57810277880186,2.4631680361791e-07,"LOC_Os05g02530",-2.93648404866103,5.39261267495119e-12,-1.35838126985917,1.68299310896554e-06
"119",-1.49107722317325,2.61645136847226e-07,"LOC_Os01g64960",4.93533228834546,5.98707763101862e-15,3.44425506517221,1.963878636569e-12
