"","GENEID"
"6971","LOC_Os04g47770"
"6974","LOC_Os04g47860"
"7004","LOC_Os04g48840"
"7005","LOC_Os04g48880"
"7012","LOC_Os04g49350"
"7021","LOC_Os04g49570"
"7044","LOC_Os04g50860"
"7061","LOC_Os04g51300"
"7070","LOC_Os04g51400"
"7078","LOC_Os04g51580"
"7088","LOC_Os04g51792"
"7114","LOC_Os04g52260"
"7119","LOC_Os04g52330"
"7156","LOC_Os04g53190"
"7160","LOC_Os04g53230"
"7162","LOC_Os04g53310"
"7179","LOC_Os04g53680"
"7210","LOC_Os04g54640"
"7211","LOC_Os04g54790"
"7225","LOC_Os04g55180"
"7229","LOC_Os04g55230"
"7262","LOC_Os04g56230"
"7263","LOC_Os04g56240"
"7268","LOC_Os04g56400"
"7298","LOC_Os04g57020"
"7309","LOC_Os04g57300"
"7321","LOC_Os04g57500"
"7349","LOC_Os04g57930"
"7368","LOC_Os04g58390"
"7378","LOC_Os04g58620"
"7382","LOC_Os04g58710"
"7392","LOC_Os04g58890"
"7409","LOC_Os04g59440"
"7418","LOC_Os04g59570"
"7422","LOC_Os04g59610"
"7429","LOC_Os05g01110"
"7431","LOC_Os05g01140"
"7440","LOC_Os05g01270"
"7450","LOC_Os05g01470"
"7455","LOC_Os05g01530"
"7474","LOC_Os05g01950"
"7491","LOC_Os05g02260"
"7536","LOC_Os05g03780"
"7538","LOC_Os05g03830"
"7561","LOC_Os05g04620"
"7575","LOC_Os05g05140"
"7597","LOC_Os05g05600"
"7615","LOC_Os05g05940"
"7652","LOC_Os05g06890"
"7654","LOC_Os05g06920"
"7669","LOC_Os05g07632"
"7681","LOC_Os05g07860"
"7682","LOC_Os05g07870"
"7696","LOC_Os05g08480"
"7712","LOC_Os05g08930"
"7723","LOC_Os05g09400"
"7741","LOC_Os05g10730"
"7747","LOC_Os05g10930"
"7754","LOC_Os05g11210"
"7756","LOC_Os05g11260"
"7782","LOC_Os05g12474"
"7784","LOC_Os05g12630"
"7785","LOC_Os05g12640"
"7797","LOC_Os05g13904"
"7805","LOC_Os05g14270"
"7862","LOC_Os05g22614"
"7866","LOC_Os05g22730"
"7867","LOC_Os05g22830"
"7868","LOC_Os05g22840"
"7874","LOC_Os05g22970"
"7893","LOC_Os05g23740"
"7897","LOC_Os05g23880"
"7907","LOC_Os05g24550"
"7911","LOC_Os05g24650"
"7930","LOC_Os05g25840"
"7944","LOC_Os05g26926"
"7970","LOC_Os05g28200"
"7976","LOC_Os05g28500"
"7995","LOC_Os05g29760"
"8008","LOC_Os05g30250"
"8010","LOC_Os05g30350"
"8040","LOC_Os05g31760"
"8047","LOC_Os05g32140"
"8052","LOC_Os05g32220"
"8059","LOC_Os05g32390"
"8078","LOC_Os05g32820"
"8094","LOC_Os05g33280"
"8095","LOC_Os05g33290"
"8105","LOC_Os05g33510"
"8107","LOC_Os05g33520"
"8109","LOC_Os05g33570"
"8113","LOC_Os05g33620"
"8115","LOC_Os05g33710"
"8119","LOC_Os05g33840"
"8125","LOC_Os05g34010"
"8144","LOC_Os05g34630"
"8146","LOC_Os05g34650"
"8147","LOC_Os05g34670"
"8170","LOC_Os05g35320"
"8175","LOC_Os05g35470"
"8207","LOC_Os05g36994"
"8215","LOC_Os05g37250"
"8249","LOC_Os05g38270"
"8267","LOC_Os05g38680"
"8311","LOC_Os05g40180"
"8315","LOC_Os05g40260"
"8350","LOC_Os05g41190"
"8368","LOC_Os05g41640"
"8401","LOC_Os05g43310"
"8417","LOC_Os05g43650"
"8428","LOC_Os05g44020"
"8460","LOC_Os05g45030"
"8472","LOC_Os05g45350"
"8473","LOC_Os05g45400"
"8505","LOC_Os05g46250"
"8527","LOC_Os05g46710"
"8539","LOC_Os05g47540"
"8541","LOC_Os05g47560"
"8562","LOC_Os05g48160"
"8585","LOC_Os05g48630"
"8626","LOC_Os05g49380"
"8631","LOC_Os05g49610"
"8633","LOC_Os05g49650"
"8640","LOC_Os05g49800"
"8642","LOC_Os05g49880"
"8645","LOC_Os05g49910"
"8646","LOC_Os05g49970"
"8667","LOC_Os05g50500"
"8669","LOC_Os05g50550"
"8685","LOC_Os05g50930"
