"","GENEID"
"5249","LOC_Os03g41110"
"5257","LOC_Os03g41438"
"5263","LOC_Os03g42110"
"5264","LOC_Os03g42130"
"5268","LOC_Os03g42464"
"5286","LOC_Os03g43440"
"5301","LOC_Os03g44010"
"5319","LOC_Os03g44670"
"5335","LOC_Os03g45280"
"5350","LOC_Os03g45920"
"5351","LOC_Os03g45930"
"5354","LOC_Os03g46090"
"5368","LOC_Os03g46570"
"5373","LOC_Os03g46660"
"5379","LOC_Os03g46770"
"5399","LOC_Os03g47930"
"5417","LOC_Os03g48310"
"5420","LOC_Os03g48430"
"5459","LOC_Os03g49600"
"5485","LOC_Os03g50160"
"5495","LOC_Os03g50325"
"5510","LOC_Os03g50540"
"5519","LOC_Os03g50880"
"5586","LOC_Os03g52670"
"5604","LOC_Os03g53050"
"5607","LOC_Os03g53110"
"5614","LOC_Os03g53230"
"5630","LOC_Os03g53660"
"5648","LOC_Os03g54000"
"5677","LOC_Os03g55100"
"5681","LOC_Os03g55150"
"5682","LOC_Os03g55180"
"5713","LOC_Os03g55870"
"5742","LOC_Os03g56730"
"5744","LOC_Os03g56790"
"5750","LOC_Os03g56860"
"5752","LOC_Os03g56900"
"5763","LOC_Os03g57120"
"5773","LOC_Os03g57240"
"5793","LOC_Os03g57660"
"5797","LOC_Os03g57790"
"5839","LOC_Os03g58630"
"5841","LOC_Os03g58650"
"5849","LOC_Os03g58810"
"5858","LOC_Os03g59020"
"5872","LOC_Os03g59310"
"5893","LOC_Os03g59740"
"5899","LOC_Os03g60090"
"5905","LOC_Os03g60150"
"5920","LOC_Os03g60520"
"5939","LOC_Os03g60850"
"5962","LOC_Os03g61240"
"5985","LOC_Os03g61829"
"5991","LOC_Os03g61960"
"5992","LOC_Os03g61970"
"6004","LOC_Os03g62270"
"6015","LOC_Os03g62600"
"6029","LOC_Os03g62790"
"6046","LOC_Os03g63330"
"6050","LOC_Os03g63400"
"6072","LOC_Os03g63740"
"6097","LOC_Os03g64190"
"6113","LOC_Os04g01240"
"6124","LOC_Os04g01520"
"6136","LOC_Os04g02050"
"6151","LOC_Os04g02830"
"6163","LOC_Os04g04060"
"6171","LOC_Os04g06520"
"6185","LOC_Os04g08280"
"6191","LOC_Os04g08764"
"6210","LOC_Os04g11400"
"6234","LOC_Os04g14220"
"6271","LOC_Os04g16866"
"6291","LOC_Os04g20164"
"6311","LOC_Os04g21350"
"6324","LOC_Os04g22900"
"6337","LOC_Os04g24300"
"6350","LOC_Os04g25410"
"6352","LOC_Os04g25490"
"6354","LOC_Os04g25560"
"6358","LOC_Os04g25800"
"6360","LOC_Os04g26320"
"6364","LOC_Os04g26910"
"6365","LOC_Os04g26920"
"6386","LOC_Os04g30430"
"6387","LOC_Os04g30450"
"6398","LOC_Os04g31070"
"6412","LOC_Os04g31760"
"6414","LOC_Os04g31804"
"6427","LOC_Os04g32110"
"6435","LOC_Os04g32460"
"6450","LOC_Os04g32950"
"6480","LOC_Os04g33660"
"6496","LOC_Os04g33990"
"6498","LOC_Os04g34080"
"6499","LOC_Os04g34100"
"6502","LOC_Os04g34240"
"6503","LOC_Os04g34250"
"6504","LOC_Os04g34270"
"6531","LOC_Os04g35240"
"6537","LOC_Os04g35410"
"6570","LOC_Os04g36740"
"6591","LOC_Os04g37690"
"6597","LOC_Os04g37790"
"6607","LOC_Os04g38320"
"6615","LOC_Os04g38450"
"6620","LOC_Os04g38610"
"6627","LOC_Os04g38790"
"6639","LOC_Os04g39020"
"6650","LOC_Os04g39210"
"6664","LOC_Os04g39489"
"6679","LOC_Os04g40040"
"6700","LOC_Os04g40600"
"6717","LOC_Os04g40950"
"6763","LOC_Os04g42090"
"6767","LOC_Os04g42134"
"6789","LOC_Os04g42600"
"6791","LOC_Os04g42620"
"6803","LOC_Os04g42930"
"6823","LOC_Os04g43550"
"6825","LOC_Os04g43670"
"6887","LOC_Os04g45480"
"6897","LOC_Os04g45730"
"6899","LOC_Os04g45800"
"6900","LOC_Os04g45810"
"6905","LOC_Os04g45900"
"6946","LOC_Os04g46980"
"6952","LOC_Os04g47180"
"6954","LOC_Os04g47220"
"6960","LOC_Os04g47300"
"6961","LOC_Os04g47310"
"6965","LOC_Os04g47420"
"6979","LOC_Os04g47990"
"7006","LOC_Os04g48940"
"7047","LOC_Os04g50970"
"7053","LOC_Os04g51150"
"7059","LOC_Os04g51270"
"7082","LOC_Os04g51690"
"7098","LOC_Os04g51960"
"7121","LOC_Os04g52361"
"7126","LOC_Os04g52450"
"7127","LOC_Os04g52460"
"7156","LOC_Os04g53190"
"7163","LOC_Os04g53350"
"7188","LOC_Os04g53990"
"7242","LOC_Os04g55670"
"7245","LOC_Os04g55710"
"7246","LOC_Os04g55720"
"7249","LOC_Os04g55800"
"7258","LOC_Os04g56100"
"7261","LOC_Os04g56160"
"7267","LOC_Os04g56350"
"7304","LOC_Os04g57200"
"7306","LOC_Os04g57220"
"7307","LOC_Os04g57230"
"7326","LOC_Os04g57560"
"7329","LOC_Os04g57610"
"7330","LOC_Os04g57630"
"7356","LOC_Os04g58110"
"7359","LOC_Os04g58160"
"7371","LOC_Os04g58504"
"7386","LOC_Os04g58800"
"7400","LOC_Os04g59040"
"7402","LOC_Os04g59120"
"7441","LOC_Os05g01280"
"7471","LOC_Os05g01820"
"7482","LOC_Os05g02070"
"7484","LOC_Os05g02130"
"7490","LOC_Os05g02250"
"7493","LOC_Os05g02310"
"7496","LOC_Os05g02420"
"7501","LOC_Os05g02530"
"7507","LOC_Os05g02780"
"7513","LOC_Os05g02990"
"7519","LOC_Os05g03140"
"7527","LOC_Os05g03490"
"7528","LOC_Os05g03530"
"7538","LOC_Os05g03830"
"7542","LOC_Os05g03934"
"7543","LOC_Os05g04000"
"7551","LOC_Os05g04360"
"7554","LOC_Os05g04510"
"7571","LOC_Os05g05020"
"7572","LOC_Os05g05030"
"7590","LOC_Os05g05470"
"7610","LOC_Os05g05820"
"7623","LOC_Os05g06310"
"7649","LOC_Os05g06770"
"7650","LOC_Os05g06780"
"7654","LOC_Os05g06920"
"7675","LOC_Os05g07700"
"7714","LOC_Os05g08960"
"7722","LOC_Os05g09380"
"7724","LOC_Os05g09410"
"7741","LOC_Os05g10730"
"7748","LOC_Os05g10940"
"7764","LOC_Os05g11720"
"7765","LOC_Os05g11730"
"7772","LOC_Os05g11910"
"7785","LOC_Os05g12640"
"7794","LOC_Os05g13620"
"7800","LOC_Os05g14010"
"7815","LOC_Os05g15040"
"7830","LOC_Os05g16670"
"7839","LOC_Os05g19110"
"7864","LOC_Os05g22712"
"7876","LOC_Os05g23194"
"7878","LOC_Os05g23320"
"7892","LOC_Os05g23720"
"7897","LOC_Os05g23880"
"7898","LOC_Os05g23924"
"7911","LOC_Os05g24650"
"7932","LOC_Os05g25950"
"7947","LOC_Os05g27010"
"7950","LOC_Os05g27320"
"7972","LOC_Os05g28290"
"7983","LOC_Os05g28870"
"8000","LOC_Os05g29990"
"8024","LOC_Os05g31000"
"8026","LOC_Os05g31040"
"8037","LOC_Os05g31690"
"8053","LOC_Os05g32230"
"8062","LOC_Os05g32440"
"8071","LOC_Os05g32610"
"8097","LOC_Os05g33310"
"8100","LOC_Os05g33380"
"8111","LOC_Os05g33600"
"8114","LOC_Os05g33630"
"8122","LOC_Os05g33900"
"8123","LOC_Os05g33940"
"8125","LOC_Os05g34010"
"8160","LOC_Os05g34980"
"8161","LOC_Os05g35060"
"8173","LOC_Os05g35444"
"8179","LOC_Os05g35580"
"8186","LOC_Os05g35970"
"8198","LOC_Os05g36270"
"8199","LOC_Os05g36290"
"8200","LOC_Os05g36310"
"8204","LOC_Os05g36360"
"8210","LOC_Os05g37140"
"8215","LOC_Os05g37250"
"8216","LOC_Os05g37330"
"8229","LOC_Os05g37730"
"8233","LOC_Os05g37900"
"8258","LOC_Os05g38530"
"8259","LOC_Os05g38550"
"8266","LOC_Os05g38660"
"8277","LOC_Os05g39050"
"8306","LOC_Os05g39960"
"8314","LOC_Os05g40220"
"8319","LOC_Os05g40300"
"8333","LOC_Os05g40960"
"8343","LOC_Os05g41110"
"8354","LOC_Os05g41440"
"8356","LOC_Os05g41460"
"8374","LOC_Os05g41900"
"8378","LOC_Os05g42000"
"8383","LOC_Os05g42120"
"8390","LOC_Os05g42350"
"8397","LOC_Os05g43240"
"8398","LOC_Os05g43252"
"8403","LOC_Os05g43374"
"8422","LOC_Os05g43830"
"8435","LOC_Os05g44210"
"8447","LOC_Os05g44560"
"8448","LOC_Os05g44570"
"8536","LOC_Os05g47446"
"8539","LOC_Os05g47540"
"8543","LOC_Os05g47640"
"8551","LOC_Os05g47850"
"8554","LOC_Os05g47980"
"8567","LOC_Os05g48280"
"8570","LOC_Os05g48320"
"8619","LOC_Os05g49240"
"8639","LOC_Os05g49780"
"8643","LOC_Os05g49890"
"8659","LOC_Os05g50350"
"8664","LOC_Os05g50470"
"8667","LOC_Os05g50500"
"8676","LOC_Os05g50710"
"8677","LOC_Os05g50750"
"8696","LOC_Os05g51180"
"8706","LOC_Os05g51500"
"8724","LOC_Os05g51830"
"8741","LOC_Os06g01440"
"8744","LOC_Os06g01470"
"8754","LOC_Os06g01760"
"8765","LOC_Os06g02019"
"8778","LOC_Os06g02370"
"8781","LOC_Os06g02420"
"8801","LOC_Os06g02930"
"8803","LOC_Os06g02960"
"8809","LOC_Os06g03560"
"8810","LOC_Os06g03580"
"8813","LOC_Os06g03660"
"8815","LOC_Os06g03682"
"8858","LOC_Os06g04460"
"8885","LOC_Os06g04920"
"8901","LOC_Os06g05359"
"8907","LOC_Os06g05480"
"8924","LOC_Os06g05880"
"8994","LOC_Os06g07830"
"9004","LOC_Os06g08110"
"9008","LOC_Os06g08250"
"9022","LOC_Os06g08560"
"9076","LOC_Os06g10410"
"9080","LOC_Os06g10510"
"9104","LOC_Os06g11190"
"9107","LOC_Os06g11310"
"9124","LOC_Os06g11860"
"9125","LOC_Os06g11980"
"9143","LOC_Os06g12310"
"9144","LOC_Os06g12320"
"9150","LOC_Os06g12580"
"9162","LOC_Os06g12790"
"9163","LOC_Os06g12870"
"9170","LOC_Os06g13030"
"9177","LOC_Os06g13210"
